author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"games, Steve Jackson","Steve Jackson games","Gurps Traveller: Flare Star","Gurps Traveller: Flare Star","","0101-01-01T10:00:00+10:00","","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS Ultra-Tech","GURPS Ultra-Tech","","0101-01-01T10:00:00+10:00","","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS Ultra-Tech: Weapon Tables","GURPS Ultra-Tech: Weapon Tables","","0101-01-01T10:00:00+10:00","","","1.0"
"Sterling, Bruce Sterlingbruce","Bruce Sterlingbruce Sterling","Hacker Crackdown: Law and Disorder on the Electronic Frontier, The","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","9780553563702","1992-11-01T00:00:00+10:00","Bantam","","1.0"
"Levy, Steven","Steven Levy","Hackers: Heroes of the Computer Revolution - 25th Anniversary Edition","Hackers: Heroes of the Computer Revolution - 25th Anniversary Edition","9781449388386","2010-05-19T00:00:00+10:00","O'Reilly Media","","1.0"
"Unknown","Unknown","Ham Radio for Dummies 2nd Edition","Ham Radio for Dummies 2nd Edition","9781118592113","2004-04-23T00:00:00+10:00","Wiley Publishing","","1.0"
"Byrne, Rhonda","Rhonda Byrne","Hero","Hero","9781476758589","2013-11-18T23:00:00+10:00","Atria Books","","1.0"
"Byrne, Rhonda","Byrne, Rhonda","Hero (The Secret)","Hero (The Secret)","9781476758596","2013-11-19T10:00:00+10:00","Atria Books","","1.0"
"Lisa","Lisa","hero_and_outlaw_e.indd","hero_and_outlaw_e.indd","","0101-01-01T10:00:00+10:00","","","1.0"
"Ryan, Johnny","Johnny Ryan","History of the Internet and the Digital Future, A","A History of the Internet and the Digital Future","","2011-06-16T00:00:00+10:00","Reaktion Books","","1.0"
"Unknown","Unknown","How To Assemble A Desktop PC","How To Assemble A Desktop PC","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Kosev, Gorgi & Mitreski, Mite","Gorgi Kosev & Mite Mitreski","HTML5 Data and Services Cookbook","HTML5 Data and Services Cookbook","9781783559282","2013-09-03T00:00:00+10:00","Packt Publishing","","1.0"
"Makzan","Makzan","Html5 Games Development by Example: Beginner's Guide","Html5 Games Development by Example: Beginner's Guide","9781849691260","2011-08-27T00:00:00+10:00","Packt Publishing","","1.0"
